City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,constitucion,-35.3333,-72.4167,13.1,76,0,1.36,CL,1676782531
174,iqaluit,63.7506,-68.5145,-38.15,67,20,3.6,CA,1676782531
175,leningradskiy,69.3833,178.4167,-37.33,99,68,1.98,RU,1676782532
176,tsiroanomandidy,-18.7667,46.0333,22.54,88,86,1.5,MG,1676782533
177,mar del plata,-38.0023,-57.5575,14.93,82,0,2.06,AR,1676782422
178,pacific grove,36.6177,-121.9166,10.91,67,0,1.54,US,1676782250
179,codrington,-38.2667,141.9667,23.34,51,0,7.36,AU,1676782535
180,waitati,-45.75,170.5667,19.33,71,100,4.81,NZ,1676782536
181,tokur,53.1333,132.9,-14.88,78,100,1.5,RU,1676782536
182,mitsamiouli,-11.3847,43.2844,27.73,72,50,2.35,KM,1676782537
183,hanzhong,33.0728,107.0303,10.79,22,62,0.91,CN,1676782538
184,churapcha,62.0025,132.4325,-22.98,91,100,0.98,RU,1676782539
185,portland,45.5234,-122.6762,8.38,81,75,2.06,US,1676782268
186,qeshm,26.9581,56.2719,19.94,54,59,6.94,IR,1676782539
187,saskylakh,71.9167,114.0833,-17.68,97,100,3.91,RU,1676782360
188,nouadhibou,20.931,-17.0347,16.99,67,98,7.72,MR,1676782541
189,srednekolymsk,67.45,153.6833,-34.06,93,100,1.83,RU,1676782541
190,hamilton,39.1834,-84.5333,4.89,55,0,3.6,US,1676781864
191,pevek,69.7008,170.3133,-33.61,93,100,1.35,RU,1676782542
192,portree,57.4129,-6.1942,6.96,95,98,4.92,GB,1676782543
193,hervey bay,-25.2986,152.8535,28.9,62,87,4.02,AU,1676782543
194,amga,60.8953,131.9608,-18.02,90,100,1.24,RU,1676782544
195,te anau,-45.4167,167.7167,16.68,87,98,1.99,NZ,1676782545
196,dingle,10.9995,122.6711,28.38,75,100,0.26,PH,1676782545
197,bakel,14.905,-12.4568,27.03,13,82,5.36,SN,1676782546
198,najran,17.4924,44.1277,9.36,49,0,1.23,SA,1676782547
199,sorong,-0.8833,131.25,27.34,77,100,2.4,ID,1676782308
200,ndele,8.4109,20.6473,21.41,18,32,4.27,CF,1676782548
201,bedesa,8.9,40.7833,17.09,35,3,1.95,ET,1676782549
202,berasia,23.6333,77.4333,24.25,23,1,1.93,IN,1676782549
203,aswan,24.0934,32.907,14.71,36,99,4.73,EG,1676782550
204,provideniya,64.3833,-173.3,-19.94,59,75,8.0,RU,1676782551
205,meadow lake,34.8014,-106.5436,7.05,44,9,2.13,US,1676782551
206,gushikawa,26.3544,127.8686,23.77,50,0,4.12,JP,1676782552
207,coihaique,-45.5752,-72.0662,11.97,40,0,3.09,CL,1676782553
208,romblon,12.5751,122.2708,25.1,89,100,6.23,PH,1676782554
209,hovd,48.0056,91.6419,-13.51,72,57,1.58,MN,1676782554
210,lac du bonnet,50.2536,-96.0612,-4.68,96,100,2.82,CA,1676782555
211,kodiak,57.79,-152.4072,3.73,65,20,4.63,US,1676782556
212,bardiyah,31.7561,25.0865,13.27,66,53,3.3,LY,1676782556
213,sumbe,-11.2061,13.8437,23.5,84,100,1.15,AO,1676782557
214,christchurch,-43.5333,172.6333,28.11,42,81,2.57,NZ,1676782271
215,cabo san lucas,22.8909,-109.9124,19.73,71,55,3.47,MX,1676782389
216,hasaki,35.7333,140.8333,17.22,79,100,11.64,JP,1676782559
217,tahoua,14.8888,5.2692,16.17,17,17,6.4,NE,1676782560
218,sioux lookout,50.1001,-91.917,-4.96,86,100,2.57,CA,1676782561
219,saint anthony,45.0205,-93.218,-0.08,86,0,4.63,US,1676782562
220,moshenskoye,58.5102,34.5911,-6.93,93,100,5.64,RU,1676782563
221,narsaq,60.9167,-46.05,-4.88,95,100,5.55,GL,1676782564
222,katsuura,35.1333,140.3,17.83,79,90,17.41,JP,1676782565
223,hoquiam,46.9809,-123.8893,7.78,80,20,0.0,US,1676782566
224,fort-shevchenko,44.5086,50.263,4.31,84,100,8.48,KZ,1676782567
225,abu samrah,35.3029,37.1841,5.77,71,0,1.57,SY,1676782568
226,sena madureira,-9.0656,-68.6569,21.8,99,100,1.71,BR,1676782569
227,lalmohan,22.3384,90.7419,26.56,50,0,1.24,BD,1676782570
228,malanje,-9.5402,16.341,17.87,99,99,1.43,AO,1676782571
229,cidreira,-30.1811,-50.2056,18.05,56,52,2.65,BR,1676782572
230,richards bay,-28.783,32.0377,22.98,90,74,1.93,ZA,1676782358
231,zhigansk,66.7697,123.3711,-29.84,96,84,0.56,RU,1676782041
232,sohag,26.557,31.6948,9.89,67,39,4.37,EG,1676782574
233,agirish,61.9247,63.0231,-18.39,99,100,1.12,RU,1676782575
234,lagoa,39.05,-27.9833,13.85,82,5,3.19,PT,1676782576
235,siparia,10.1333,-61.5,21.01,77,0,3.95,TT,1676782577
236,santa barbara,34.7333,-120.0343,10.46,59,20,0.0,US,1676782510
237,fortuna,40.5982,-124.1573,6.19,93,0,0.0,US,1676782579
238,novikovo,51.1537,37.8879,0.66,97,100,5.99,RU,1676782580
239,longyearbyen,78.2186,15.6401,-13.09,61,40,5.14,SJ,1676782581
